City,Location_Type,Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_from_City_km,Garage,Price_INR
Chennai,City Center,1291,3,1,33,18,1,4809970
Ahmedabad,Near Highway,2764,2,2,28,18,0,8972350
Mumbai,Near Highway,1263,2,1,8,14,0,4621477
Kolkata,Near School,2735,2,1,34,15,0,8173299
Mumbai,Near Highway,879,1,1,35,6,1,3162600
Delhi,Near Highway,992,4,2,32,11,1,3560500
Kolkata,Rural,3612,2,2,24,13,0,10898647
Ahmedabad,Near School,1680,4,1,14,25,0,5461527
Hyderabad,Suburb,2562,3,2,32,1,0,8196477
Bangalore,City Center,564,2,1,16,28,0,2076947
Hyderabad,Near Highway,3068,2,1,4,6,0,9736004
Ahmedabad,City Center,1867,3,1,37,9,1,6132452
Delhi,Suburb,1652,2,1,21,8,0,5165064
Mumbai,City Center,2527,4,2,14,11,1,8288352
Kolkata,Suburb,3195,1,2,31,22,0,9298004
Hyderabad,Rural,1995,4,2,18,19,1,7472881
Ahmedabad,Near Highway,3634,1,1,7,24,1,11394844
Hyderabad,Suburb,1662,1,2,10,9,1,5927261
Ahmedabad,City Center,2022,4,1,7,17,1,7009980
Mumbai,Near Highway,3140,4,2,33,12,1,10590858
Kolkata,Rural,891,4,1,23,25,1,3799478
Bangalore,Near Highway,2198,4,1,21,14,0,6814098
Mumbai,Suburb,918,3,1,19,15,1,4020890
Hyderabad,Rural,2836,2,2,19,16,0,8812313
Bangalore,City Center,878,1,2,36,22,1,3128929
Ahmedabad,Rural,2296,4,2,29,22,1,7635199
Bangalore,Rural,2778,4,2,18,28,0,8740060
Ahmedabad,Near School,3565,4,1,2,20,1,11512954
Mumbai,Rural,2588,3,2,1,1,0,8874753
Hyderabad,Rural,3599,4,2,5,10,0,11427544
Delhi,Near Highway,2682,4,1,20,8,0,8780628
Hyderabad,City Center,700,4,1,11,18,0,3049309
Ahmedabad,Near Highway,2363,2,1,2,28,1,7885590
Pune,Near Highway,1279,3,2,3,1,1,5481947
Kolkata,Suburb,3477,4,1,23,2,0,11388028
Chennai,Near Highway,3604,1,1,12,1,1,11304243
Delhi,Near School,3619,1,1,20,1,1,11326426
Bangalore,Near School,1002,1,2,5,9,0,3304574
Delhi,Suburb,2954,3,1,37,13,1,9620907
Kolkata,City Center,2251,3,2,38,1,0,7236466
Bangalore,City Center,1304,1,2,30,13,0,4418808
Kolkata,Near Highway,2646,4,1,9,20,1,9122219
Bangalore,Near Highway,3231,3,1,34,26,1,10721158
Delhi,Near Highway,2395,1,2,35,22,1,7181951
Bangalore,City Center,3273,1,1,22,7,0,10281964
Bangalore,Rural,2070,4,1,24,2,0,7252210
Pune,Near School,1460,2,2,17,6,1,5242060
Hyderabad,Rural,3160,3,2,10,7,1,10103478
Hyderabad,Rural,1985,4,1,30,26,1,6732569
Chennai,City Center,3190,1,2,23,14,1,10121050
Chennai,Rural,1528,1,1,32,26,0,4128355
Ahmedabad,Suburb,3789,4,1,17,18,1,12576282
Ahmedabad,Near Highway,1002,3,1,17,15,0,3705780
Ahmedabad,Suburb,3314,2,2,14,2,0,10834000
Pune,Near School,897,2,1,9,10,1,3772522
Chennai,Near Highway,1370,1,1,2,23,1,4931651
Kolkata,Rural,3342,3,1,25,12,1,11109601
Ahmedabad,Near School,892,2,2,39,17,0,2894671
Ahmedabad,Near Highway,706,3,2,9,8,1,3287253
Delhi,Rural,1538,3,2,22,11,1,5216912
Mumbai,Suburb,2381,1,2,4,29,0,7133767
Kolkata,Near Highway,3439,2,2,26,3,1,10778281
Ahmedabad,Rural,1984,4,1,29,27,0,6061754
Ahmedabad,Suburb,1363,1,2,34,6,1,4621276
Ahmedabad,Near School,3290,2,2,23,9,0,10246558
Mumbai,Near School,3812,2,2,37,6,1,12043732
Mumbai,Near School,1063,2,1,11,9,1,3534023
Pune,Near School,1520,2,2,6,7,0,5321667
Kolkata,City Center,595,2,2,18,9,0,1840388
Pune,Near Highway,2423,3,1,21,18,1,8396200
Bangalore,Near Highway,2257,1,2,36,12,0,7172860
Mumbai,City Center,3032,3,1,38,8,0,9165779
Delhi,Rural,3978,4,1,34,8,0,12882453
Chennai,Rural,2778,2,1,17,18,0,9028850
Delhi,Near School,3296,1,1,37,28,1,9734846
Chennai,Suburb,2178,2,1,25,20,1,7228335
Mumbai,Rural,3742,1,2,38,15,0,10903212
Mumbai,Suburb,1040,3,1,12,27,0,4057346
Mumbai,Near Highway,1559,1,1,23,7,0,5074853
Pune,Suburb,3072,4,2,22,11,0,10329140
Kolkata,Near Highway,1683,4,1,21,20,1,6410134
Chennai,City Center,2222,1,2,27,16,1,7028811
Kolkata,City Center,3814,1,2,31,4,0,11712309
Pune,Near School,3657,1,2,6,6,0,11040380
Pune,Rural,2319,1,1,27,26,0,6451789
Hyderabad,Near School,3125,4,1,34,22,1,10648194
Delhi,Near Highway,3229,2,1,12,26,0,9513086
Delhi,Near School,3104,1,2,7,3,1,9806003
Bangalore,Suburb,2097,1,1,10,9,0,6527972
Ahmedabad,Near Highway,3560,4,1,17,28,1,11211088
Pune,City Center,3193,4,1,26,10,0,10113423
Chennai,Rural,1295,3,2,21,14,1,4875387
Hyderabad,Near Highway,1551,1,2,28,11,0,5303000
Hyderabad,Near Highway,2143,3,1,2,18,0,7159381
Ahmedabad,Suburb,1863,4,1,1,22,0,6079761
Kolkata,Rural,2481,4,1,36,12,1,8608083
Ahmedabad,City Center,1854,2,1,26,23,0,5775181
Ahmedabad,Near Highway,2163,1,2,29,12,1,6930024
Ahmedabad,Near Highway,2029,3,2,21,13,1,7102706
Delhi,Suburb,2538,4,2,11,25,0,8104074
Pune,Near School,3919,4,2,11,13,0,13071497
Bangalore,City Center,1996,3,1,36,19,0,5913351
Pune,Rural,3802,2,1,39,26,1,11951371
Kolkata,Near Highway,2737,4,1,35,19,0,8254635
Mumbai,Near Highway,3796,1,2,34,23,1,12206619
Ahmedabad,City Center,1908,4,1,24,14,1,6259071
Pune,Near School,1900,1,2,22,4,0,6455909
Kolkata,Near Highway,1806,3,2,5,13,0,6168918
Mumbai,City Center,3180,1,1,33,8,0,9884950
Mumbai,Suburb,3175,3,1,36,29,0,9638377
Ahmedabad,Near School,1472,1,1,20,23,0,4841083
Bangalore,Rural,2268,3,2,19,21,0,7506093
Chennai,Near Highway,1782,1,1,35,23,1,6007458
Delhi,City Center,3930,2,2,17,19,1,12446280
Pune,Suburb,1209,1,1,34,12,1,4286245
Mumbai,Rural,1979,1,2,9,18,0,6098207
Pune,City Center,1934,2,2,26,6,1,6276598
Chennai,City Center,1148,4,1,2,18,1,4367022
Delhi,Rural,817,4,2,9,19,1,3348170
Chennai,Suburb,3796,1,2,9,22,1,11681226
Delhi,Suburb,1757,2,1,17,5,1,5570063
Hyderabad,Near School,1183,1,2,1,24,0,4011632
Delhi,Near Highway,1163,3,1,25,9,0,4335378
Ahmedabad,Rural,2498,3,2,25,27,1,8369881
Bangalore,Rural,3945,1,1,39,3,1,12140592
Chennai,Rural,2131,4,1,35,28,1,7076602
Mumbai,Suburb,1995,4,2,3,10,0,7215580
Ahmedabad,Near Highway,3804,1,2,37,19,0,11060613
Hyderabad,Near School,1636,1,2,30,3,1,5617698
Bangalore,City Center,2353,3,2,38,29,0,7421505
Pune,City Center,2020,4,2,34,29,0,6589299
Ahmedabad,Rural,2989,1,1,12,22,1,9429642
Chennai,Near Highway,1063,3,2,19,15,0,3608334
Kolkata,Suburb,1791,4,1,37,1,0,5978430
Kolkata,Near Highway,3957,2,1,17,7,1,12437614
Mumbai,Near Highway,3958,3,2,10,12,0,12297043
Delhi,Suburb,3684,4,1,12,17,0,12125294
Mumbai,Rural,2136,4,1,16,21,1,7601770
Kolkata,Near Highway,3499,3,1,24,26,0,10527575
Pune,City Center,3652,2,1,19,29,0,10796438
Hyderabad,Suburb,1198,3,2,8,24,1,4666744
Hyderabad,Near School,2660,4,1,31,20,1,8944455
Chennai,Rural,501,1,2,21,5,1,2436467
Hyderabad,Suburb,1141,1,2,17,4,0,4027448
Chennai,Near School,2767,3,1,23,28,1,8745528
Ahmedabad,Near School,2089,4,2,37,12,0,6630392
Chennai,Near Highway,1354,1,2,16,20,1,4510288
Ahmedabad,Near Highway,2259,4,2,6,28,0,7279239
Chennai,Near Highway,3796,3,1,8,24,1,12373719
Kolkata,Suburb,2932,1,2,25,18,1,9622450
Kolkata,Suburb,3974,4,2,18,17,1,13121798
Delhi,Rural,2161,1,2,25,19,1,7142293
Ahmedabad,Near Highway,1653,3,1,12,9,0,5852258
Bangalore,Near School,1576,4,2,15,4,1,5788170
Ahmedabad,City Center,2207,1,1,26,26,1,6502668
Chennai,Rural,3277,3,1,26,21,0,10482988
Chennai,Suburb,2195,1,1,32,2,1,6823734
Bangalore,Rural,2233,1,1,10,4,0,6977333
Mumbai,Rural,1939,2,1,16,2,1,6178948
Chennai,Rural,2794,2,1,7,15,1,9072662
Delhi,Rural,1335,3,2,17,2,1,5139390
Hyderabad,City Center,702,2,1,23,4,0,2220063
Hyderabad,Near Highway,3755,3,2,26,6,1,12298729
Pune,Near School,622,2,2,21,7,1,2279175
Pune,Rural,900,1,1,22,10,1,2829877
Hyderabad,Rural,1266,3,2,7,19,0,4986692
Hyderabad,Rural,793,3,2,14,19,0,2680917
Kolkata,Near Highway,2827,1,2,15,26,1,8718770
Delhi,Suburb,3431,3,2,7,22,0,11467178
Bangalore,Suburb,697,3,1,9,29,1,3048613
Pune,City Center,3529,2,2,8,12,1,11490625
Kolkata,Suburb,2430,3,1,23,3,1,8272673
Kolkata,Rural,3299,4,2,29,13,1,11386447
Bangalore,Rural,2691,1,2,18,18,1,8443093
Kolkata,Rural,1108,2,1,31,8,1,4110708
Ahmedabad,City Center,3772,2,2,30,21,1,11724295
Delhi,Rural,1647,4,2,39,15,0,6011115
Hyderabad,Suburb,686,1,2,35,1,0,2370304
Chennai,Near Highway,3897,1,1,18,3,0,12185319
Bangalore,Near Highway,3011,2,2,39,26,0,9318730
Hyderabad,Near School,3920,3,1,17,8,0,11849847
Hyderabad,Suburb,2294,2,2,14,4,0,6980653
Mumbai,Rural,1159,1,1,31,16,0,3678432
Ahmedabad,Near Highway,3311,4,1,24,23,1,11105949
Bangalore,Suburb,3502,2,2,35,10,1,10924766
Kolkata,Near Highway,2455,1,2,34,12,1,7554954
Chennai,Rural,2950,2,1,3,14,1,9177842
Bangalore,Near Highway,1869,3,1,37,14,0,6325657
Kolkata,Near School,2486,2,2,26,2,0,7660647
Hyderabad,Near School,2034,2,1,23,23,1,6191761
Chennai,Near Highway,646,1,2,39,5,1,2253192
Kolkata,Suburb,3719,1,2,15,5,0,11894871
Delhi,Suburb,3411,1,2,4,6,1,11261022
Kolkata,Suburb,2234,2,2,29,13,1,7363637
Mumbai,Near Highway,2343,3,1,22,9,1,7980246
Ahmedabad,Suburb,988,4,2,25,22,1,4434370
Hyderabad,Rural,3476,4,1,13,28,0,10936768
Kolkata,Near School,2459,1,2,18,29,1,8338403
Ahmedabad,Rural,2163,1,1,33,15,1,6922152
Pune,Suburb,3098,2,2,16,14,0,9666980
Pune,Rural,2885,4,1,2,24,0,9746198
Ahmedabad,Suburb,3419,1,1,35,7,1,10142356
Ahmedabad,Near Highway,1140,3,2,34,25,0,3572228
Mumbai,Rural,2302,3,2,30,20,1,7248727
Delhi,Near Highway,3020,1,2,13,2,1,9560615
Hyderabad,Near Highway,2469,1,2,13,7,0,7774356
Bangalore,City Center,2698,4,1,18,6,1,9275211
Mumbai,Suburb,1938,4,2,32,17,1,6709511
Delhi,Near School,3869,2,1,32,27,1,11936376
Ahmedabad,Suburb,2134,4,1,35,25,1,6688390
Bangalore,Near School,762,3,2,39,25,0,2802040
Ahmedabad,Suburb,2287,3,1,29,28,0,7618635
Ahmedabad,Near Highway,2691,1,1,29,2,1,8279898
Pune,Rural,2893,4,1,16,3,0,9292113
Pune,Rural,1123,2,1,10,5,1,4264398
Bangalore,City Center,1516,3,2,30,5,1,5892831
Mumbai,Near School,1380,3,2,25,1,1,5334078
Pune,Near School,2549,2,2,39,8,1,8056208
Hyderabad,Near School,3444,2,2,20,12,1,10593281
Ahmedabad,Near Highway,1827,3,1,5,24,0,5615189
Chennai,Near School,2801,3,1,1,4,1,9185093
Kolkata,Rural,952,2,2,30,13,0,3001655
Bangalore,Near Highway,3608,3,2,3,23,0,11725403
Bangalore,Suburb,1683,1,2,14,15,1,5666893
Pune,Near School,3562,1,1,30,11,1,10843462
Mumbai,Near School,2556,2,2,4,10,1,8472597
Ahmedabad,Suburb,3804,4,2,18,3,1,13101138
Hyderabad,Near School,3670,2,2,37,22,1,11836242
Mumbai,Suburb,2182,2,1,25,14,0,6525415
Delhi,Near Highway,3363,4,1,1,16,1,11428682
Delhi,Rural,2755,4,1,15,10,1,8856869
Chennai,Suburb,1654,4,1,9,29,0,5734243
Pune,City Center,903,1,1,15,10,0,2944676
Pune,Suburb,2699,3,1,24,12,1,9112612
Pune,Near School,2601,1,1,4,9,0,7578207
Chennai,Near Highway,3691,3,1,12,1,1,11716401
Delhi,Near Highway,2196,1,2,37,5,0,7178132
Mumbai,Suburb,1127,3,2,37,20,0,3470292
Chennai,Rural,1086,1,1,6,8,1,3785266
Chennai,City Center,2148,4,1,39,11,0,6945762
Mumbai,Near Highway,1943,2,2,24,12,0,5934157
Pune,Near School,1945,1,1,11,1,0,5592031
Hyderabad,Near School,603,3,1,13,25,0,2267937
Mumbai,Rural,753,4,1,34,22,0,3126239
Delhi,Near Highway,3798,1,2,25,20,0,11639600
Bangalore,Suburb,3683,1,2,7,28,1,11723054
Ahmedabad,Near School,3057,4,2,4,25,1,10049521
Bangalore,Rural,1996,1,2,8,11,0,6204977
Kolkata,Near Highway,598,2,2,20,5,1,2256771
Kolkata,Near Highway,2700,1,1,29,15,1,8122199
Chennai,Near Highway,2384,2,2,10,5,1,8525757
Ahmedabad,Near Highway,3461,2,1,34,12,0,10794019
Bangalore,Near Highway,2419,4,1,26,5,1,8482129
Hyderabad,Near School,1377,1,2,3,17,0,4651329
Pune,Rural,837,4,2,6,17,1,3906473
Delhi,Near Highway,3369,1,1,5,24,0,9964164
Kolkata,City Center,3734,1,1,5,12,0,11398887
Hyderabad,City Center,1456,3,1,23,24,1,5102638
Delhi,Rural,2204,1,2,9,28,1,7433518
Delhi,Suburb,660,4,2,35,15,0,3042291
Pune,Suburb,2103,2,2,20,15,1,7047313
Ahmedabad,Suburb,3348,1,2,35,6,1,10749858
Chennai,City Center,897,3,2,18,12,1,3219487
Bangalore,Suburb,1800,4,1,17,27,0,5693694
Pune,Near School,1315,1,2,24,29,0,3683853
Hyderabad,Near Highway,2027,4,1,3,20,1,7688767
Chennai,City Center,2419,3,1,32,18,1,7712261
Hyderabad,Rural,1915,3,1,35,14,1,6110062
Chennai,Rural,1658,4,2,38,2,0,5635610
Ahmedabad,Near Highway,1718,1,2,13,9,0,5212077
Kolkata,City Center,900,2,2,25,5,1,3812516
Hyderabad,Suburb,1139,3,1,9,20,1,3800782
Pune,Suburb,3604,1,1,4,26,1,11301492
Chennai,Near School,3235,1,1,14,29,1,10384886
Chennai,Near School,959,2,1,37,1,1,3706336
Delhi,Suburb,1454,3,1,34,23,1,5111224
Delhi,Rural,969,3,1,11,3,0,3440808
Mumbai,Rural,3946,1,2,3,6,1,12231245
Hyderabad,Near School,1545,1,2,28,5,0,5280708
Delhi,Near Highway,3297,2,2,29,21,1,10949100
Mumbai,Suburb,2193,2,2,9,27,1,7805828
Kolkata,Near School,2585,3,1,3,5,0,8072258
Kolkata,Near School,2777,4,1,25,1,0,9161956
Delhi,Suburb,3936,3,2,34,17,0,12237418
Hyderabad,Suburb,1062,1,1,12,19,0,3303616
Chennai,Rural,2985,3,2,9,14,1,9881328
Bangalore,Near Highway,2299,4,2,15,12,0,7793581
Ahmedabad,Near Highway,3854,2,2,25,10,1,12185966
Hyderabad,Suburb,2574,4,1,5,20,0,9015616
Ahmedabad,City Center,725,4,2,11,21,1,3138710
Pune,Near School,3848,4,2,34,18,1,12676550
Kolkata,Near School,1297,2,2,24,24,1,4593621
Delhi,Suburb,2831,4,1,15,27,1,9342073
Delhi,City Center,3426,4,1,38,11,1,11329265
Ahmedabad,Rural,1459,4,2,8,2,1,5800859
Chennai,Suburb,2004,1,1,5,25,0,5807263
Ahmedabad,Suburb,952,4,1,26,18,1,4175093
Pune,Near School,3567,2,1,18,29,0,10975523
Chennai,Suburb,1315,4,1,6,25,0,4210159
Pune,Suburb,1158,4,1,37,7,1,4486505
Bangalore,Suburb,1046,2,1,13,24,0,3936413
Kolkata,Near School,1715,4,1,28,15,1,5702993
Delhi,Rural,3620,2,1,5,11,0,11172003
Delhi,Rural,516,4,1,13,18,1,2225309
Bangalore,Suburb,3743,2,1,17,23,0,11101507
Mumbai,Near School,1743,4,2,32,12,1,6674748
Kolkata,Rural,2705,4,2,29,6,1,8709743
Chennai,Rural,3024,1,1,3,20,1,9844462
Bangalore,Rural,1569,1,2,34,23,1,4598101
Chennai,Near School,3944,4,2,27,13,0,12339717
Ahmedabad,Near School,3065,4,1,13,20,1,10360822
Hyderabad,Suburb,2646,3,1,33,16,0,8124371
Delhi,Near Highway,2268,2,1,6,18,0,6934604
Chennai,Rural,1560,3,2,24,10,0,4977450
Pune,Near Highway,2827,1,2,19,28,1,9308558
Chennai,Near School,3920,1,1,16,23,0,12177503
Hyderabad,Near School,3044,1,1,28,8,0,9388481
Kolkata,Near School,801,1,1,33,18,0,2169907
Delhi,Near Highway,680,4,2,13,21,1,3192030
Ahmedabad,Near School,1106,1,2,25,1,1,4122710
Bangalore,Suburb,3670,4,2,36,23,0,11540453
Ahmedabad,Near School,1199,4,2,27,8,1,4858009
Hyderabad,City Center,1492,1,1,38,29,1,4269785
Delhi,Near Highway,1639,1,1,7,6,0,4871535
Chennai,City Center,690,2,1,5,5,0,2745769
Kolkata,Near School,2800,3,1,31,15,1,8744838
Mumbai,Suburb,1480,1,2,23,22,0,4670442
Kolkata,Rural,3475,2,2,10,15,1,11019160
Mumbai,Near School,2506,2,1,32,2,1,8010779
Pune,Suburb,1684,3,1,30,1,1,5738904
Kolkata,Near Highway,3827,4,2,39,23,1,12752110
Delhi,City Center,3894,1,1,31,23,1,12305488
Mumbai,City Center,627,3,2,18,26,1,2849526
Bangalore,City Center,2565,1,1,36,11,0,7450752
Delhi,Near Highway,2316,2,1,2,10,0,7541369
Bangalore,Suburb,2258,2,1,14,18,1,7141644
Kolkata,Near Highway,3113,4,1,13,18,1,10818401
Bangalore,City Center,1069,2,1,29,17,1,4019393
Mumbai,Near School,1846,2,1,12,26,0,5537775
Delhi,Rural,2395,3,1,39,8,1,8267261
Chennai,Near Highway,3233,1,2,2,15,0,10417349
Hyderabad,Near Highway,1125,1,2,32,8,1,4255240
Mumbai,Suburb,3859,3,2,13,17,1,12876422
Mumbai,Suburb,3401,4,2,27,12,0,10535551
Chennai,Near Highway,2186,1,2,17,27,0,7228665
Delhi,City Center,3509,2,1,31,8,1,11261983
Delhi,Rural,654,1,1,34,25,1,2324800
Ahmedabad,Suburb,3037,2,2,24,14,1,9467277
Kolkata,City Center,1909,4,1,35,4,0,5887811
Bangalore,Near School,1284,3,2,6,1,0,4966128
Kolkata,Suburb,3675,1,2,19,1,0,11671535
Chennai,City Center,3964,3,1,30,19,0,12211028
Kolkata,City Center,745,1,1,7,16,0,2894131
Chennai,Rural,3747,2,1,10,14,0,11489266
Delhi,Rural,3610,3,2,32,21,1,11339104
Bangalore,Near School,2000,1,1,34,16,1,6273296
Kolkata,City Center,2205,2,2,28,5,0,6712346
Mumbai,City Center,3306,3,2,15,9,1,10979690
Pune,Rural,1037,3,2,30,26,1,3565456
Ahmedabad,Suburb,2390,1,1,37,28,0,7294282
Hyderabad,Suburb,2341,1,1,29,2,1,7272009
Mumbai,Near Highway,1420,1,2,22,18,0,4446043
Delhi,Rural,2955,2,1,4,6,0,8981643
Hyderabad,Near Highway,1024,1,1,20,9,1,3467083
Pune,Rural,3375,3,1,32,1,0,10983713
Pune,Near School,2029,3,2,36,9,0,6195550
Bangalore,City Center,3450,1,2,4,25,0,10669146
Hyderabad,Near School,535,1,1,27,16,0,2065652
Bangalore,Rural,1184,4,2,17,13,0,4008218
Mumbai,City Center,519,3,1,12,9,0,1775296
Chennai,Suburb,2868,2,1,22,21,0,8828909
Chennai,Suburb,3059,4,1,17,13,0,9910767
Chennai,Near Highway,899,1,1,10,9,1,2881767
Hyderabad,Rural,3201,1,2,1,11,1,10745211
Chennai,Rural,1471,3,2,22,4,1,5264858
Mumbai,Suburb,2406,1,2,26,2,0,7713348
Bangalore,Near School,3018,2,1,18,29,0,9019016
Hyderabad,City Center,1666,3,1,14,6,1,5410441
Bangalore,Near School,1615,1,1,29,14,1,4873038
Hyderabad,Near School,3925,3,2,12,4,1,13029489
Bangalore,Suburb,1333,1,1,36,6,0,4214612
Pune,Suburb,2323,1,2,35,19,1,7672800
Bangalore,Suburb,3274,1,2,12,6,1,10588410
Chennai,Near Highway,2482,2,2,7,2,0,7610760
Pune,Near School,1353,2,2,29,18,1,4464622
Bangalore,Rural,550,3,2,11,13,0,2789313
Hyderabad,City Center,1074,1,2,33,9,0,3705286
Hyderabad,Near Highway,3761,1,1,6,23,0,11838662
Ahmedabad,Rural,1648,2,1,15,19,1,5396860
Hyderabad,Near School,2697,1,2,32,13,1,8673540
Delhi,Suburb,2861,2,2,11,11,0,8716538
Mumbai,Near School,3117,1,1,23,1,1,9805660
Hyderabad,City Center,3913,3,2,26,24,1,12875228
Pune,Near Highway,2852,1,2,34,22,1,9381776
